user_country,donors,donation_amount,date_of_agreement,entry_into_operation,end_of_operation,status_functionality
Kenya,US,,2018,,,"Unclear: ""the passage of a data protection law in 2019 has delayed implementation of ATS-G"""
Panama,US,,,,,"MIDAS appears to be under implementation, based on job postings in 2022."
CARICOM IMPACS,US,$1 million,2018,,,Shared to multiple countries bia CARICOM IMPACS
Afghanistan,US,"US: $ amount unknown, provided PISCES system, covered by FY 2017 TIP funding.",,2012,,
Albania,US,"US: $ amount unknown, provided PISCES system.",,2020,,
Azerbaijan,US,"US: $ amount unknown, provided PISCES system + funded refurbishments.",,,2007 (uncertain),
Bosnia and Herzegovina,US,"US: $ amount unknown, provided PISCES system.",2019 (uncertain),,,
Burkina Faso,US,"US: $ amount unknown, provided PISCES system.",,,,PISCES may not be functional
Cambodia,US,"US: $ amount unknown, provided PISCES system.",,,,
Cameroon,US,"US: $ amount unknown, provided PISCES system.",,2016,,
Chad,US,"US: $ amount unknown, provided PISCES system.",,2013,,
Colombia,US,"US: $ amount unknown, provided PISCES system.",2022,,,
Comoros,US,"US: $ amount unknown, provided PISCES system.",2015,,,
Côte d'Ivoire,US,"US: $ amount unknown, provided PISCES system.",,,,
Democratic Republic of the Congo,US,"US: $ amount unknown, provided PISCES system.",,,,
Djibouti,US,"US: $ amount unknown (at least $500,000 proposed in leaked memo), provided PISCES system + funded refurbishments",,2015,,
Ecuador,US,"US: $ amount unknown, provided PISCES system + funded refurbishments.",2019 (uncertain),,,
Ethiopia,US,"US: $ amount unknown, provided PISCES system.",,,,
Ghana,US,"US: $ amount unknown, provided PISCES system.",,,,
Guinea,US,"US: $ amount unknown, provided PISCES system.",,,,
Iraq,US,"US: $ amount unknown, provided PISCES system.",,~2003,,PISCES entered into operation at some point early in US occupation
Jordan,US,"US: $ amount unknown, provided PISCES system.",,,,"PISCES may be unofficial usage. US country reports on terrorism 2016: ""Jordanian authorities continued to use the U.S.-provided Personal Identification Secure Comparison and Evaluation System (PISCES) at unofficial border crossing sites along the Syrian border to complement the border screening system at official POE""."
Kenya,US,"US: $ amount unknown, provided PISCES system.",,,,
Kosovo,"US (via ICITAP), EU (via EULEX)","US: $ amount unknown, provided PISCES system.",,2009,2012 (uncertain),Unclear -- PISCES may have been replaced by EU-funded BMS.  Wikileaks / Cablegate docs suggest there was confusion at highest levels about whether EU system would replace PISCES or work alongside it. Seems EU were concerned about ensuring compliance with EU law. Result is not clear.
Madagascar,US,"US: $500,000",,2016,,
Malaysia,US (uncertain),,,2013,,
Maldives,US,"US: $ amount unknown, provided PISCES system.",,2016 (uncertain),,
Mali,US,"US: $ amount unknown, provided PISCES system.",,,,
Malta,US,"US: $ amount unknown, provided PISCES system.",2004,,,
Mauritania,US,"US: $ amount unknown, provided PISCES system.",2022,,,
Nicaragua,US,"US: $ amount unknown, provided PISCES system.",,2005,,PISCES mentioned in US govt report; apparently there were issues during installation
Niger,US,"US: $3 million (for upgraded facilities, MIDAS/PISCES interoperability), provided PISCES system",,,,
Nigeria,US,"US: $ amount unknown, provided PISCES system.",,,,
North Macedonia,US,"US: $ amount unknown, provided PISCES system.",,,,
Panama,US,"US: $ amount unknown, provided PISCES system.",,,,
Pakistan,US,"US: >$38mil, provided PISCES system.",,2002,2011 (uncertain),
Somalia,US,"US: $ amount unknown, provided PISCES system.",,,,
South Sudan,US,"US: $ amount unknown, provided PISCES system.",,,,
Sudan,US,"US: $ amount unknown, provided PISCES system + funded refurbishments.",,,,
Tanzania,US,"US: $ amount unknown, provided PISCES system.",,,,"Wikileaks doc dated June 2007 claims ""Tanzania Request to US: Please Don Abandon PISCES "". Says not enough funding to maintain."
Thailand,US,"US: $ amount unknown, provided PISCES system + funded refurbishments.",,,,US govt reports claim that the Thai govt has replaced PISCES at several key ports with own properietary software (~2012)
